Station,Entry-Weekday,Entry-Saturday,Entry-Sunday,Exit-Weekday,Exit-Saturday,Exit-Sunday,Annual-e-and-e-million,Year,Entry-Weekend,Exit-Weekend,Weekend-Weekday,Latitude,Longitude,Zones,Zone,Connections
Alperton,4478.0,3357,2373,4665.0,3384,2399,2.945259,2011,2865.0,2891.5,0.3863552468203631,51.54120927,-0.299515759,4,4,{'Piccadilly'}
Alperton,4512.0,3222,2560,4624.0,3186,2497,2.942987,2010,2891.0,2841.5,0.38554662541614826,51.54120927,-0.299515759,4,4,{'Piccadilly'}
Amersham,3848.0,1876,1232,4025.0,1797,1121,2.321692,2017,1554.0,1459.0,0.2767775124012493,51.67412932,-0.606513789,9,9,"{'Metropolitan', 'Chiltern Railways'}"
Amersham,3899.0,1880,1235,4134.0,1801,1086,2.3607,2016,1557.5,1443.5,0.27197752401667574,51.67412932,-0.606513789,9,9,"{'Metropolitan', 'Chiltern Railways'}"
Amersham,3680.0,1759,1169,4054.0,1985,1132,2.287149,2015,1464.0,1558.5,0.2809928880211965,51.67412932,-0.606513789,9,9,"{'Metropolitan', 'Chiltern Railways'}"
Amersham,3812.0,1822,1203,4543.0,1866,1075,2.439993,2014,1512.5,1470.5,0.26309754806844243,51.67412932,-0.606513789,9,9,"{'Metropolitan', 'Chiltern Railways'}"
Amersham,3489.0,1664,1111,3344.0,1777,1151,2.041139,2013,1387.5,1464.0,0.2944395683824668,51.67412932,-0.606513789,9,9,"{'Metropolitan', 'Chiltern Railways'}"
Amersham,3387.0,1675,1133,3708.0,1703,1024,2.097954,2012,1404.0,1363.5,0.28060836501901143,51.67412932,-0.606513789,9,9,"{'Metropolitan', 'Chiltern Railways'}"
Amersham,3461.0,1496,975,3775.0,1582,869,2.09956,2011,1235.5,1225.5,0.2537898319067753,51.67412932,-0.606513789,9,9,"{'Metropolitan', 'Chiltern Railways'}"
Amersham,3455.0,1771,1060,3610.0,1945,1122,2.109415,2010,1415.5,1533.5,0.2944877171959257,51.67412932,-0.606513789,9,9,"{'Metropolitan', 'Chiltern Railways'}"
Angel,30413.0,20944,13916,30099.0,22368,13832,19.198892,2017,17430.0,18100.0,0.3699423169030216,51.53296802,-0.10558144900000001,1,1,{'Northern'}
Angel,31595.0,23831,15549,30872.0,24712,14492,20.100806,2016,19690.0,19602.0,0.3861280083334152,51.53296802,-0.10558144900000001,1,1,{'Northern'}
Angel,31112.0,22137,15424,30391.0,24267,14798,19.756365,2015,18780.5,19532.5,0.3838362587160375,51.53296802,-0.10558144900000001,1,1,{'Northern'}
Angel,29351.0,23332,14455,30145.0,24434,14034,19.217171,2014,18893.5,19234.0,0.39055657705368074,51.53296802,-0.10558144900000001,1,1,{'Northern'}
Angel,30213.0,22180,12718,29507.0,22772,12438,18.930868,2013,17449.0,17605.0,0.3698693734568553,51.53296802,-0.10558144900000001,1,1,{'Northern'}
Angel,28693.0,23305,13610,28832.0,23916,12990,18.578717,2012,18457.5,18453.0,0.3908540750035739,51.53296802,-0.10558144900000001,1,1,{'Northern'}
Angel,27812.0,21215,12655,27740.0,21851,12446,17.775047,2011,16935.0,17148.5,0.38024555003319,51.53296802,-0.10558144900000001,1,1,{'Northern'}
Angel,27684.0,22265,13938,27301.0,22555,12830,17.821157,2010,18101.5,17692.5,0.3942982407825598,51.53296802,-0.10558144900000001,1,1,{'Northern'}
Archway,15336.0,10701,7424,13956.0,9023,6816,9.276684,2017,9062.5,7919.5,0.3669879413925747,51.56549053,-0.135121577,"2,3",3,{'Northern'}
Archway,16473.0,11386,7879,14991.0,9580,7212,9.940993,2016,9632.5,8396.0,0.3642673132292772,51.56549053,-0.135121577,"2,3",3,{'Northern'}
Archway,16017.0,11253,7739,14900.0,9598,7315,9.794439,2015,9496.0,8456.5,0.3673559172899252,51.56549053,-0.135121577,"2,3",3,{'Northern'}
Archway,14356.0,10187,6633,13971.0,8958,6612,8.943726,2014,8410.0,7785.0,0.363752751448722,51.56549053,-0.135121577,"2,3",3,{'Northern'}
Archway,13421.0,9195,6105,12618.0,7754,5764,8.169486,2013,7650.0,6759.0,0.3562351661392405,51.56549053,-0.135121577,"2,3",3,{'Northern'}
Archway,13318.0,9381,5879,12385.0,7685,5458,8.059174,2012,7630.0,6571.5,0.35588718064378705,51.56549053,-0.135121577,"2,3",3,{'Northern'}
Archway,13511.0,9146,5741,12556.0,7138,5108,8.08181,2011,7443.5,6123.0,0.3422988128729484,51.56549053,-0.135121577,"2,3",3,{'Northern'}
Archway,13279.0,9217,5875,12453.0,7582,5477,8.053512,2010,7546.0,6529.5,0.35358914777366074,51.56549053,-0.135121577,"2,3",3,{'Northern'}
Arnos Grove,7443.0,5868,3986,6732.0,5100,3745,4.61274,2017,4927.0,4422.5,0.3974367149142383,51.61623014,-0.134270219,4,4,{'Piccadilly'}
Arnos Grove,7274.0,6110,4274,6773.0,5470,4028,4.645869,2016,5192.0,4749.0,0.4144155411038853,51.61623014,-0.134270219,4,4,{'Piccadilly'}
Arnos Grove,7217.0,5852,4046,6674.0,5197,3778,4.550587,2015,4949.0,4487.5,0.40452255921123137,51.61623014,-0.134270219,4,4,{'Piccadilly'}
Arnos Grove,7317.0,6126,4107,7047.0,5481,3965,4.713904,2014,5116.5,4723.0,0.40653211312413495,51.61623014,-0.134270219,4,4,{'Piccadilly'}
Arnos Grove,7177.0,5612,3840,6641.0,4908,3550,4.479004,2013,4726.0,4229.0,0.3932288236069029,51.61623014,-0.134270219,4,4,{'Piccadilly'}
Arnos Grove,6759.0,5165,3124,6269.0,4549,2886,4.155802,2012,4144.5,3717.5,0.37635232168501676,51.61623014,-0.134270219,4,4,{'Piccadilly'}
Arnos Grove,6711.0,5162,3129,6268.0,4648,3067,4.159371,2011,4145.5,3857.5,0.3814221713849967,51.61623014,-0.134270219,4,4,{'Piccadilly'}
Arnos Grove,6605.0,5202,3004,6229.0,4579,2766,4.096044,2010,4103.0,3672.5,0.3772774691283146,51.61623014,-0.134270219,4,4,{'Piccadilly'}
Arsenal,4622.0,3692,2626,3929.0,3071,2581,2.822292,2017,3159.0,2826.0,0.41173637864612,51.55854138,-0.105499934,2,2,{'Piccadilly'}
Arsenal,4789.0,4116,2890,4250.0,3400,2785,3.012524,2016,3503.0,3092.5,0.42185551184879594,51.55854138,-0.105499934,2,2,{'Piccadilly'}
Arsenal,4377.0,4682,2710,3724.0,3948,2448,2.802635,2015,3696.0,3198.0,0.4597532510836946,51.55854138,-0.105499934,2,2,{'Piccadilly'}
Arsenal,4592.0,4071,2795,4048.0,3376,2755,2.900614,2014,3433.0,3065.5,0.42926974270898705,51.55854138,-0.105499934,2,2,{'Piccadilly'}
Arsenal,5020.0,4244,2991,4271.0,3436,2799,3.091593,2013,3617.5,3117.5,0.4202545862972669,51.55854138,-0.105499934,2,2,{'Piccadilly'}
Arsenal,4857.0,4290,2815,4159.0,3633,2685,3.017544,2012,3552.5,3159.0,0.4267366078524877,51.55854138,-0.105499934,2,2,{'Piccadilly'}
